,longitude,latitude
0,-509342.6208877713,-1190710.3129749787
1,-509444.45911891485,-1190667.7397299518
2,-509547.7852896632,-1190628.9239389817
3,-509652.6012017892,-1190594.3349575703
4,-509758.81880235765,-1190564.3292906228
5,-509866.2844653074,-1190539.1578653846
6,-509974.76406251563,-1190518.7908354038
7,-510084.0045841107,-1190502.998589323
8,-510193.7748715253,-1190491.4366002064
9,-510303.8790700305,-1190483.6537389955
10,-510414.1670058569,-1190479.1393253095
11,-510524.53299741313,-1190477.2779036039
12,-510634.91595581314,-1190477.2585685286
13,-510745.2965718559,-1190478.074758191
14,-510855.6787344139,-1190478.5864134824
15,-510966.05525359814,-1190477.5173728464
16,-511076.35456181294,-1190473.3556462175
17,-511186.37828696915,-1190464.5755568517
18,-511295.84930095216,-1190450.4930728746
19,-511404.63235502207,-1190431.7957368568
20,-511513.01699311764,-1190410.8844190289
21,-511621.70856858476,-1190391.662054571
22,-511731.16202584695,-1190377.472172837
23,-511841.25894782494,-1190369.757532209
24,-511951.62099302345,-1190368.3916439547
25,-512061.9328924115,-1190372.1716251462
26,-512172.0717064031,-1190379.474149386
27,-512282.03505017,-1190389.0833163098
28,-512391.86787247367,-1190400.093588463
29,-512501.6525311578,-1190411.5775573098
30,-512611.51207260106,-1190422.3129142246
31,-512721.56808363844,-1190430.764634956
32,-512831.8448984704,-1190435.4533659194
33,-512942.2198908848,-1190435.485772219
34,-513052.5076682299,-1190431.0345298916
35,-513162.6204574267,-1190423.3382775453
36,-513272.61607157945,-1190414.0928408627
37,-513382.6300517644,-1190405.0725313067
38,-513492.79592118453,-1190398.2056609574
39,-513603.14155378845,-1190395.8373351688
40,-513713.4149446342,-1190400.2486616792
41,-513823.06562705565,-1190412.7166411343
42,-513931.4879321288,-1190433.3064237458
43,-514038.36534227256,-1190460.849571025
44,-514143.93774858874,-1190493.0664004404
45,-514248.72193597176,-1190527.7735195523
46,-514353.1518823762,-1190563.5353176987
47,-514457.412641293,-1190599.7875947333
48,-514561.404155705,-1190636.8037775082
49,-514664.8452063151,-1190675.3289413396
50,-514767.5182754279,-1190715.8549477337
51,-514869.3190672408,-1190758.5248562181
52,-514970.3108514193,-1190803.0777772833
53,-515070.82943589624,-1190848.6907687846
54,-515171.4072455293,-1190894.1727559837
55,-515272.47900236386,-1190938.5442780964
56,-515374.3105236406,-1190981.141211069
57,-515477.01201849605,-1191021.5946603222
58,-515580.52961024636,-1191059.9130371797
59,-515684.5932490466,-1191096.7264801734
60,-515788.66996756307,-1191133.5027911633
61,-515891.9503185514,-1191172.4464257727
62,-515993.3643038115,-1191215.9952756157
63,-516091.7056044535,-1191266.0769718785
64,-516186.0407377028,-1191323.346346138
65,-516276.0920920949,-1191387.149818929
66,-516362.2588521566,-1191456.123126784
67,-516445.4527326148,-1191528.6638655113
68,-516526.89529098215,-1191603.1719910922
69,-516607.92825194076,-1191678.1266999422
70,-516689.38867546554,-1191752.6162251048
71,-516771.33310574724,-1191826.5732970724
72,-516853.3005745312,-1191900.504876622
73,-516934.89053283585,-1191974.8526709136
74,-517016.0841108086,-1192049.6333062085
75,-517097.19483006425,-1192124.5038856925
76,-517178.58619313757,-1192199.0690654928
77,-517260.5605222128,-1192272.9924340511
78,-517343.4501359661,-1192345.8870680465
79,-517427.73156287393,-1192417.1655080393
80,-517514.1096685656,-1192485.8823094512
81,-517603.45976885525,-1192550.6770360905
82,-517696.33092756657,-1192610.30825123
83,-517792.4949542948,-1192664.4752003688
84,-517891.04552173085,-1192714.1842904775
85,-517990.81400465843,-1192761.4135530172
86,-518090.80233071215,-1192808.1776384017
87,-518190.5446919391,-1192855.4637901399
88,-518290.08897663007,-1192903.1658447445
89,-518389.6117779485,-1192950.9127500376
90,-518489.0890539307,-1192998.754292376
91,-518588.1379747004,-1193047.4743040507
92,-518686.1604954934,-1193098.2233801116
93,-518782.71442728915,-1193151.711810058
94,-518877.773457502,-1193207.8166312
95,-518971.7994599788,-1193265.6398251865
96,-519065.5359379758,-1193323.9323892847
97,-519159.6533670303,-1193381.6068355518
98,-519254.5665085006,-1193437.960806941
99,-519350.5066212033,-1193492.5468103217
100,-519447.5963654294,-1193545.0598916365
101,-519545.84769811144,-1193595.3662481308
102,-519645.0911634962,-1193643.6879080934
103,-519744.96571736975,-1193690.6937404291
104,-519845.0386732936,-1193737.2765438887
105,-519944.94526107004,-1193784.2146673854
106,-520044.5083605843,-1193831.8769099987
107,-520143.8080607381,-1193880.0859775767
108,-520243.11007693206,-1193928.2902577177
109,-520342.7280024677,-1193975.8373566985
110,-520442.94270378264,-1194022.1117070774
111,-520544.04536704504,-1194066.4085556476
112,-520646.4553613268,-1194107.5825905842
113,-520750.6104133528,-1194144.099961059
114,-520856.6692139476,-1194174.6350002394
115,-520964.33905864233,-1194198.8980000922
116,-521072.9989828096,-1194218.3003218365
117,-521182.04100565234,-1194235.4554738328
118,-521291.1028488269,-1194252.4859096743
119,-521400.0119075739,-1194270.4653994471
120,-521508.7699420073,-1194289.3392460013
121,-521617.5744133501,-1194307.941479264
122,-521726.64904298924,-1194324.8787195864
123,-521836.08023295994,-1194339.3267643654
124,-521945.83678027656,-1194351.0509271284
125,-522055.825394266,-1194360.3616722317
126,-522165.9488009734,-1194367.9259541812
127,-522276.14943463367,-1194374.273056734
128,-522386.39987477555,-1194379.689263678
129,-522496.6879505208,-1194384.2760084202
130,-522607.008298805,-1194388.0060409482
131,-522717.3514719888,-1194390.9914276032
132,-522827.7006502394,-1194393.7501530012
133,-522938.0292642228,-1194397.2155374908
134,-523048.27483511216,-1194402.6787160018
135,-523158.3006881685,-1194411.4879816533
136,-523267.91850427043,-1194424.4092266632
137,-523376.96212763473,-1194441.5153598206
138,-523485.31175563944,-1194462.5775873524
139,-523592.82186382916,-1194487.5712623093
140,-523699.25360988214,-1194516.8129520135
141,-523804.34126919956,-1194550.5657237594
142,-523907.9306632766,-1194588.6734583322
143,-524010.1060053575,-1194630.4322045024
144,-524111.2208503696,-1194674.7039265789
145,-524211.7418053657,-1194720.31120335
146,-524312.0667501944,-1194766.3487895955
147,-524412.4447564085,-1194812.2704997223
148,-524512.9650089442,-1194857.8799733678
149,-524613.5941793086,-1194903.2487178901
150,-524714.2324012507,-1194948.5973870018
151,-524814.7293734428,-1194994.2579425995
152,-524914.8661359345,-1195040.7021896562
153,-525014.3470531876,-1195088.5330874359
154,-525112.7959888692,-1195138.4503780534
155,-525209.8285255963,-1195191.0652262897
156,-525305.1743174358,-1195246.677322189
157,-525398.7517706419,-1195305.2171243862
158,-525490.6939409933,-1195366.2955494048
159,-525581.3302264813,-1195429.2980385518
160,-525671.0975638353,-1195493.5341356073
161,-525760.4314534839,-1195558.3723864586
162,-525849.7244072837,-1195623.2670667558
163,-525939.246438196,-1195687.8452262029
164,-526029.0441452111,-1195752.0395896435
165,-526118.8700649546,-1195816.1944886167
166,-526208.2941285927,-1195880.907663888
167,-526296.8981259775,-1195946.7381902568
168,-526384.4405518199,-1196013.97364972
169,-526470.9742796257,-1196082.5032201335
170,-526556.8844762628,-1196151.8138801302
171,-526642.7826098026,-1196221.1395194759
172,-526729.2600987653,-1196289.7401849923
173,-526816.7058218273,-1196357.1014964653
174,-526905.1745954351,-1196423.113814842
175,-526994.3618396148,-1196488.1533245533
176,-527083.68931514,-1196553.0004319365
177,-527172.5649363778,-1196618.4646613912
178,-527260.6007122514,-1196685.0532536244
179,-527347.6012142254,-1196752.9885631485
180,-527433.4896495533,-1196822.3244381293
181,-527518.2448250044,-1196893.0411394478
182,-527601.8897073799,-1196965.0680034882
183,-527684.6398578868,-1197038.1219163076
184,-527766.9578961508,-1197111.6629926548
185,-527849.3706644143,-1197185.0977887297
186,-527932.2728095728,-1197257.97933834
187,-528015.7359041594,-1197330.2180132165
188,-528099.3565559563,-1197402.2744562349
189,-528182.2975591937,-1197475.1104126482
190,-528263.5745011366,-1197549.7950590686
191,-528342.4208360218,-1197627.0387663892
192,-528418.5682871096,-1197706.9448305012
193,-528492.2740179899,-1197789.1111906217
194,-528564.2515630486,-1197872.7983906658
195,-528635.473358248,-1197957.1310644364
196,-528706.9615794605,-1198041.237558606
197,-528779.5827576482,-1198124.3664322363
198,-528853.7303755194,-1198206.1363251528
199,-528929.2735643388,-1198286.6195910056
200,-529005.7202850465,-1198366.2462065644
201,-529082.433308275,-1198445.6166428567
202,-529158.8562442174,-1198525.2661572706
203,-529234.5567122315,-1198605.602082361
204,-529309.177155005,-1198686.9414776904
205,-529382.3373730037,-1198769.5956932632
206,-529453.6248483511,-1198853.8690776897
207,-529522.6437332123,-1198940.009136824
208,-529589.1682728368,-1199028.0897350407
209,-529653.3028415712,-1199117.9265610941
210,-529715.3671601331,-1199209.207048341
211,-529775.7016155001,-1199301.6407710467
212,-529834.5254521075,-1199395.043393922
213,-529891.8649724968,-1199489.3643929153
214,-529947.5459530358,-1199584.6734533305
215,-530001.2836734779,-1199681.0909855699
216,-530052.8762154235,-1199778.6728345703
217,-530102.1949714993,-1199877.4232376008
218,-530149.0823269839,-1199977.350589167
219,-530193.2143272794,-1200078.5237004026
220,-530234.0253646055,-1200181.0795092662
221,-530270.927439519,-1200285.1039167733
222,-530303.4723261027,-1200390.571787015
223,-530331.5201164619,-1200497.324382237
224,-530355.5081237124,-1200605.0643863918
225,-530376.1339907227,-1200713.5000351008
226,-530393.8426848637,-1200822.450719999
227,-530408.5753631601,-1200931.8428944002
228,-530419.7227849626,-1201041.6554718087
229,-530426.0211370343,-1201151.8468877338
230,-530425.9209103187,-1201262.2103548741
231,-530417.8836285053,-1201372.271485839
232,-530400.5698345471,-1201481.2502931065
233,-530373.1646055625,-1201588.1337388922
234,-530335.7132484377,-1201691.925535915
235,-530289.0304059742,-1201791.913197323
236,-530234.4869903601,-1201887.8504330344
237,-530173.704967186,-1201979.9736814196
238,-530108.4558970392,-1202068.9988919937
239,-530040.493038063,-1202155.9764496873
240,-529971.3236578478,-1202242.000311583
241,-529902.1314156507,-1202328.0058734166
242,-529833.7634731837,-1202414.6672308508
243,-529766.7641614496,-1202502.3901770888
244,-529701.4890982287,-1202591.4029642416
245,-529638.1650821246,-1202681.8134414263
246,-529577.0739619278,-1202773.7464667023
247,-529518.6255818983,-1202867.3803278576
248,-529463.3285735921,-1202962.9072390315
249,-529411.6622486785,-1203060.4445050126
250,-529363.8319330578,-1203159.9195417517
251,-529319.759155657,-1203261.1170404458
252,-529279.1199786961,-1203363.7426281276
253,-529241.4971065703,-1203467.5126358105
254,-529206.5486978878,-1203572.2146602157
255,-529174.1802405094,-1203677.7427192784
256,-529144.5554734579,-1203784.0726342367
257,-529118.3312781303,-1203891.2894638565
258,-529096.3250581617,-1203999.4475617742
259,-529079.5571662898,-1204108.5362991106
260,-529068.6811236081,-1204218.3673304867
261,-529063.7018980655,-1204328.6253305161
262,-529064.2815054649,-1204438.9975505804
263,-529069.4328575504,-1204549.2536625438
264,-529078.1593552371,-1204659.2875233586
265,-529089.5145060251,-1204769.0833338962
266,-529102.6971753257,-1204878.676023384
267,-529117.0387490216,-1204988.1237776454
268,-529131.9731401731,-1205097.4924723876
269,-529146.9847334032,-1205206.8506222088
270,-529161.6897676748,-1205316.2503210958
271,-529175.7536729205,-1205425.734141599
272,-529188.9265244985,-1205535.3284999917
273,-529201.008655951,-1205645.0483424736
274,-529211.7672130209,-1205754.9055993
275,-529221.1065804575,-1205864.8924778642
276,-529228.8208239506,-1205975.0050548094
277,-529234.8948826394,-1206085.2201828337
278,-529239.2497310949,-1206195.516547876
279,-529241.8136172906,-1206305.868947476
280,-529242.5640696217,-1206416.2483773855
281,-529241.3441698304,-1206526.6235279483
282,-529237.8941288883,-1206636.9509864498
283,-529232.1006686804,-1206747.1795677606
284,-529223.8674065553,-1206857.2529772096
285,-529213.1581810465,-1206967.113533238
286,-529200.2711066812,-1207076.7405309794
287,-529185.6946689512,-1207186.1564514232
288,-529169.9384173262,-1207295.4093826774
289,-529153.5178133044,-1207404.5647881406
290,-529136.9370365014,-1207513.6960496923
291,-529120.6767503397,-1207622.8754327912
292,-529105.162055722,-1207732.1630920065
293,-529090.7095264018,-1207841.5960439218
294,-529077.4970100754,-1207951.185356622
295,-529065.5602809312,-1208060.9208345015
296,-529054.797902261,-1208170.777827031
297,-529045.0385013863,-1208280.7287344425
298,-529036.0943007395,-1208390.74924959
299,-529027.7958667992,-1208500.820450972
300,-529019.8790540443,-1208610.9197993812
301,-529012.1512341017,-1208721.0326277835
302,-529004.4000635439,-1208831.1438107723
303,-528996.3966488462,-1208941.236867305
304,-528987.9446437344,-1209051.2963447776
305,-528978.6982516967,-1209161.2917193705
306,-528968.5033663873,-1209271.2027614904
307,-528957.0113226572,-1209380.985658492
308,-528943.9333970773,-1209490.5899232214
309,-528929.0972996771,-1209599.9702363382
310,-528912.0783485353,-1209709.0312397727
311,-528893.0493485063,-1209817.7599289087
312,-528871.7746667032,-1209926.0712411439
313,-528848.5923790617,-1210033.9909737527
314,-528823.7038624336,-1210141.5304697456
315,-528797.304023327,-1210248.7098550037
316,-528769.9291872449,-1210355.644700532
317,-528741.863573467,-1210462.4006785096
318,-528713.465149731,-1210569.068769748
319,-528684.9835723535,-1210675.7147019457
320,-528656.4775191959,-1210782.3540932313
321,-528627.8646115029,-1210888.9648398713
322,-528599.0064678374,-1210995.509409258
323,-528569.7570612946,-1211101.9471988517
324,-528539.9759532929,-1211208.237457394
325,-528509.8303748582,-1211314.4249530763
326,-528479.4589670502,-1211420.5481265958
327,-528448.8989882036,-1211526.6171261044
328,-528417.8895999953,-1211632.5552547805
329,-528386.007180928,-1211738.2333225566
330,-528353.0991343701,-1211843.5967941906
331,-528320.0087986052,-1211948.902581696
332,-528289.7953359633,-1212055.0463939041
333,-528267.606723967,-1212163.075340056
334,-528259.6276959283,-1212273.006072302
335,-528271.2080999679,-1212382.6003740772
336,-528300.0538680486,-1212489.0189239027
337,-528341.1147908928,-1212591.3763605158
338,-528391.1596687008,-1212689.6858032353
339,-528448.0929373581,-1212784.2096960342
340,-528510.8190872616,-1212875.0391260274
341,-528578.9133036155,-1212961.9016246265
342,-528650.0261518712,-1213046.2886080148
343,-528723.4533124999,-1213128.6928785304
344,-528798.7129615559,-1213209.4376738323
345,-528875.5265571031,-1213288.7080638066
346,-528954.1343988919,-1213366.2010255544
347,-529035.1236720333,-1213441.2029779998
348,-529119.0956188377,-1213512.8488947179
349,-529206.447666079,-1213580.3301832688
